number;delta_analit_proizv1;delta_analit_proizv2;delta_analit_proizv3;delta_analit_proizv4;delta_analit_proizv5;
1;0.03439985743337963661;0.05075795090692721627;0.008179046736773789829;0.002130091123728113176;0.002982421300456692938;
0.5;0.01865150046524046803;0.02258707394023089446;0.001967786737495213215;0.000102633262264312323;1.58478885551433218e-05;
0.25;0.009742799766479908337;0.01071760290060179961;0.0004874015670609456354;6.060156417143566787e-06;2.064871887548513658e-07;
0.125;0.004983727224124888459;0.00522686765271308435;0.0001215702142940979457;3.735699615179419002e-07;3.092035407689696161e-09;
0.0625;0.002521052123871025849;0.002581802328567321772;3.037510234814796181e-05;2.326830050202377195e-08;4.780988948380020254e-11;
0.03125;0.001267968362412887664;0.001283153734047312692;7.592685817212513648e-06;1.453026432653809971e-09;7.450865553877694669e-13;
0.015625;0.0006358633539478109411;0.0006396595606642776685;1.898103358233363706e-06;9.079475967723946161e-11;1.163373325625827182e-14;
0.0078125;0.0003184038238368705833;0.0003193528670044334581;4.745215837814373543e-07;5.674369204762899632e-12;1.819020194887555064e-16;
0.00390625;0.0001593202446800326768;0.0001595575049399674736;1.186301299673983827e-07;3.546372722394719457e-13;9.595189226496714241e-18;
0.001953125;7.968974265172765995e-05;7.974905768347108933e-05;2.96575158717146941e-08;2.216019793881141009e-14;4.499439015814843401e-18;
0.0009765625;3.985228105120506539e-05;3.986710980706322546e-05;7.414377929080033167e-09;1.38512248545885619e-15;1.029992063861229212e-18;
0.00048828125;1.992799353835370793e-05;1.993170072710017423e-05;1.853594373233151058e-09;1.453915113303061446e-16;6.768132061740761429e-17;
0.000244140625;9.964460094951424181e-06;9.965386892447322979e-06;4.633987479493988787e-10;2.061881481524308057e-16;2.431865472884986445e-16;
0.0001220703125;4.982345887987496254e-06;4.982577587726264327e-06;1.158498693840364496e-10;2.432136523428107822e-16;2.432136523428107822e-16;
6.103515625e-05;2.491201905335007879e-06;2.491259830301426363e-06;2.896248320924214859e-11;2.114194236346733646e-17;3.805549625424120563e-17;
3.0517578125e-05;1.245608193605509924e-06;1.245622675989064036e-06;7.241191777055885903e-12;7.612996604650090759e-16;8.205242041370297557e-16;
1.52587890625e-05;6.228059074179029004e-07;6.22809529155740919e-07;1.810868919009320233e-12;7.612996604650090759e-16;6.428776781752798541e-16;
7.62939453125e-06;3.114034054111172473e-07;3.114043128757046624e-07;4.537322937075288776e-13;1.353409571913655185e-15;1.353409571913655185e-15;
3.814697265625e-06;1.557018346634933288e-07;1.557020457961996989e-07;1.055663531850797865e-13;1.048895128738513982e-14;1.191006928497051476e-14;
1.9073486328125e-06;7.785093560284364785e-08;7.785103304871229639e-08;4.872293432427177162e-14;2.977511900231766262e-14;3.545948257244191382e-14;
9.5367431640625e-07;3.8925528705082953e-08;3.892551246411387993e-08;8.120484536536243247e-15;2.706827275343604011e-14;3.4647415145250271e-14;
